term	related_law	term_description
지역별 예치금액	주택공급에 관한 규칙 별표2	"민영주택 청약신청 시 지역별, 전용면적별 예치금액입니다.

청약부금 가입자는 85㎡ 이하 민영주택에만 청약신청할 수 있습니다.

지역/전용면적별 예치금액

(단위 : 만원)

지역/전용면적별 예치금액이 나와있는 테이블입니다.
구분	서울/부산	기타 광역시	기타 시/군
85㎡ 이하	300	250	200
102㎡ 이하	600	400	300
135㎡ 이하	1,000	700	400
모든 면적	1,500	1,000	500

(“지역”은 입주자모집공고일 현재 주택공급신청자의 주민등록표에 따른 거주지역 기준임)"
소형·저가주택 등 소유자를 무주택자로 보는 경우	주택공급에 관한 규칙 제2조7의3호및별표1	"* 민영, 국민주택의 모든 공급유형 청약 시 적용되며, 공공임대주택은 적용되지 않습니다.

소형·저가주택 등이란

입주자모집공고일 현재 전용면적 60제곱미터 이하로서 아래의 “소형·저가주택 등의 가격 산정”에 따른 주택가격이 1억원(수도권은 1억6천만원) 이하인 주택 또는 분양권등을 말합니다. 주택공급신청자가 속한 세대가 소형·저가주택 등을 1호 또는 1세대만 소유하고 있는 경우, 민영, 국민주택의 모든 공급유형 청약 시 주택을 소유하지 아니한 것으로 봅니다. 단, 공공임대주택 청약 시에는 적용되지 않습니다.

소형·저가주택 등의 가격 산정

다음의 구분에 따라 가격을 산정합니다. 다만, 2007년 9월 1일 전에 주택을 처분한 경우에는 2007년 9월 1일 전에 공시된 주택공시가격(「부동산 가격공시에 관한 법률」 제16조 또는 제17조에 따라 공시된 가격) 중 2007년 9월 1일에 가장 가까운 날에 공시된 주택공시가격에 따릅니다.

가. 입주자모집공고일 후에 주택을 처분하는 경우: 입주자모집공고일에 가장 가까운 날에 공시된 주택공시가격
나. 입주자모집공고일 이전에 주택이 처분된 경우: 처분일 이전에 공시된 주택공시가격 중 처분일에 가장 가까운 날에 공시된 주택공시가격
다. 분양권등의 경우: 공급계약서의 공급가격(선택품목에 대한 가격은 제외)"
주택 처분 시 무주택기간 기준일	주택공급에 관한 규칙 제23조제4항	"무주택기간 또는 주택 소유는 다음 각 호 서류의 해당일을 기준으로 합니다. 다만, 제1호와 제2호의 처리일자가 다를 경우에는 먼저 처리된 날을 기준으로 합니다.

1. 건물 등기사항증명서 : 등기접수일
2. 건축물대장등본 : 처리일
3. 분양권등에 관한 계약서 : 「부동산 거래신고 등에 관한 법률」 제3조에 따라 신고된 공급계약체결일
4. 매매를 통해 취득하고 있는 분양권등의 매매계약서
가. 분양권등의 매매 후 「부동산 거래신고 등에 관한 법률」 제3조에 따라 신고된 경우에는 신고서상 매매대금 완납일
나. 분양권등을 증여나 그 밖의 사유로 처분한 경우에는 사업주체와의 계약서상 명의변경일
5. 그 밖에 주택소유여부를 증명할 수 있는 서류인 경우에는 시장 또는 군수 등 공공기관이 인정하는 날"
자산보유기준	주택공급에 관한 규칙 제41조 및 제43조	"자산보유기준

민영주택 신혼부부 및 생애최초 특별공급에 청약하려는 자는 세대별 부동산(건물+토지) 보유액이 해당 연도별 기준금액 이하여야 하며, 자산구분에 따라 아래와 같이 산출합니다.
자산보유기준 세부내역
자산보유기준 세부내역
건축물	
건축물가액은 해당 세대가 소유하고 있는 모든 건축물의 지방세정 시가표준액으로 하되, 없는 경우 지자체장이 결정한 시가표준액 적용
건축물 종류에 따른 지방세전 시가표준액
건축물 종류	지방세정 시가표준액
주택	공동주택 (아파트, 연립, 다세대)	공동주택가격 (국토교통부)
단독주택	표준주택가격 (국토교통부) 또는 개별주택가격 (시·군·구청장)
주택 외	지방자치단체장이 결정한 가액
주택 : 부동산가격공시알리미 https://www.realtyprice.kr
주택외 : 위택스>지방세정보>시가표준액 조회 https://www.wetax.go.kr

토지	
토지가액은 지목에 상관없이 해당 세대가 소유하고 있는 모든 토지의 공시가격(표준지·개별공시지가)에 면적을 곱한 금액. 단, 아래 경우는 제외
「농지법」제2조제1호에 따른 농지로서 같은 법 제49조에 따라 관할 시ㆍ구ㆍ읍ㆍ면의 장이 관리하는 농지대장에 같은 농업인과 소유자로 등재된 경우
「초지법」제2조제1호에 따른 초지로서 소유자가「축산법」제22조에 따른 축산업 허가를 받은 사람이며 축산업 허가증의 사업장 소재지와 동일한 주소인 경우
공부상 도로, 구거, 하천 등 공공용지로 사용되고 있는 경우
종중소유 토지(건축물을 포함) 또는 문화재가 건립된 토지 등 해당 부동산의 사용, 처분 등이 금지되거나 현저히 제한을 받는 경우로서 입주(예정)자가 구체적인 사실관계를 입증하는 경우
건축물가액에 토지가액이 포함되지 않는 비주거용 건축물(상가, 오피스텔 등)의 부속토지도 토지가액에 포함(개별공시지가 기준)
토지 : 부동산가격공시알리미 https://www.realtyprice.kr"
과밀억제권역	수도권정비계획법 제6조	"과밀억제권역은 수도권의 인구와 산업을 적정하게 배치하기 위하여 구분한 지역으로서, 인구와 산업이 지나치게 집중되었거나 집중될 우려가 있어 이전하거나 정비할 필요가 있는 지역입니다.

과밀억제권역에 해당하는 지역의 목록은 수도권정비계획법 시행령 별표1에서 확인하실 수 있습니다.
과밀억제권역은 주택청약 시 전매제한 기간 등을 별도로 정하고 있습니다."
청약과열지역	주택법 제63조의2제1항제1호	"주택법 제63조의2제1항제1호에 따라 지정된 조정대상지역 지역입니다. 이 지역은 주택가격, 청약경쟁률, 분양권 전매량 및 주택보급률 등을 고려하였을 때 주택 분양 등이 과열되어 있거나 과열될 우려가 있는 지역으로 재당첨 제한 또는 1순위 당첨 등이 제한됩니다. 청약하려는 주택이 청약과열지역의 주택인지 여부는 해당 주택의 입주자모집공고문에서 확인할 수 있습니다.

아래의 청약자는 청약과열지역에서 공급되는 주택에 1순위로 청약할 수 없습니다.
민영주택
세대주가 아닌 자
과거 5년 이내에 다른 주택에 당첨된 자의 세대에 속한 자
2주택(청약신청 하려는 주택이 토지임대부 분양주택인 경우에는 1주택) 이상을 소유한 세대에 속한 자
* 민영주택 청약 시에는 배우자의 직계존속도 세대에 속한 자에 포함됨
국민주택
세대주가 아닌 자
과거 5년 이내에 다른 주택에 당첨된 자가 속해 있는 무주택세대구성원
청약과열지역에서 공급되는 주택(민영주택 및 분양가상한제 미적용 주택 포함)은 당첨시 재당첨 제한이 적용됩니다.

청약과열지역

* 관련법률 : 주택공급에 관한 규칙 제19조제4항2호"
조정대상지역(과열지역)	주택법 제63조의2	"조정대상지역(과열지역)은 주택가격, 청약경쟁률, 분양권 전매량 및 주택보급률 등을 고려하였을 때 주택 분양 등이 과열되어 있거나 과열될 우려가 있는 지역으로 국토교통부장관이 지정

오피스텔(생활숙박시설) 거주자 우선 분양
투기과열지구 또는 조정대상지역(과열지역)에서 공급되는 오피스텔(생활숙박시설)은 분양분의 20% 범위에서 그 건축물 건설지역의 거주자에게 우선 분양하여야 함."
투기과열지구	주택법 제63조	"투기과열지구는 주택가격의 안정을 위하여 필요한 경우에 국토교통부 장관 또는 시·도지사가 지정하는 지역입니다. 청약하려는 주택이 투기과열지구내 주택인지 여부는 해당 주택의 입주자모집공고문에서 확인할 수 있습니다.

아래의 해당하는 청약자는 투기과열지구내 주택에 1순위로 청약할 수 없습니다.
가. 민영주택
세대주가 아닌 자
과거 5년 이내에 다른 주택에 당첨된 자의 세대에 속한 자
2주택(청약신청 하려는 주택이 토지임대부 분양주택인 경우에는 1주택) 이상을 소유한 세대에 속한 자
* 민영주택 청약 시에는 배우자의 직계존속도 세대에 속한 자에 포함됨
나. 국민주택
세대주가 아닌 자
과거 5년 이내에 다른 주택에 당첨된 자가 속해 있는 무주택세대구성원
투기과열지구내 주택(민영주택 및 분양가상한제 미적용주택 포함)은 당첨시 재당첨 제한이 적용됩니다.

투기과열지구

* 관련법률 : 주택법 제63조 (투기과열지구 지정 현황은 국토교통부 홈페이지 > 정책자료 > 법령정보 > 행정규칙(훈령, 예규, 고시)에서 확인하실 수 있습니다.)"
대규모 택지개발지구 등	주택공급에 관한 규칙 제34조	"「택지개발촉진법」에 따른 택지개발이 시행되는 지역(수도권지역에 한정), 「공공주택 특별법」에 따른 공공주택지구조성사업이 시행되는 지역(수도권지역에 한정) 및 「경제자유구역의 지정 및 운영에 관한 법률」에 따른 경제자유구역 개발사업이 시행되는 구역으로서 면적이 66만㎡ 이상인 지역

대규모 택지개발지구에서의 입주자(당첨자) 선정방식 : 해당 시·도 거주자에게 일반공급 물량의 50%(경기도는 해당건설지역에 30%, 그 외 경기도에 20%)를 우선 공급한 뒤, 나머지 50%를 기타지역 거주자에게 공급합니다.
자세한 사항은 청약제도안내 > APT청약안내 > 당첨자선정을 참고하시기 바랍니다."
대규모 택지개발지구 등 우선공급	주택공급에 관한 규칙 제34조	"수도권내 대규모 택지개발지구에서의 지역별 입주자(당첨자) 선정방식

주택건설지역이 특별시 또는 광역시(인천)인 경우 해당 시·도 거주자에게 일반공급 물량의 50% 를 우선 공급한 뒤, 나머지 50%를 기타지역 거주자에게 공급합니다.
주택건설지역이 경기도인 경우해당 주택건설지역에 30%, 그 외 경기도에 20%를 우선 공급한 뒤, 나머지 50%를 기타지역 거주자에게 공급합니다.
<예시1> 서울 또는 인천지역 대규모 택지개발지구인 100세대 공급의 경우
공급세대수	순위	접수건수	순위내 경쟁률
(미달세대수)	공급세대 및 경쟁률 산출식
(소수점 이하 반올림)
100세대	1순위	해당지역	55	1.10	

공급세대 : 100세대 × 50% = 50세대

경쟁률 : 55명 ÷ 50세대 = 1.1


기타지역	15	(Δ30)	

공급세대 : 100세대 × 50% = 50세대

미달세대 : 50세대 - 20명1) = 30세대2)


2순위	해당지역	30	2.00	

공급세대 : 미달주택30세대 × 50% = 15세대

경쟁률 : 30명 ÷ 15세대 = 2.0


기타지역	30	3.00	

공급세대 : 미달주택30세대 × 50% = 15세대

경쟁률 : 45명3) ÷ 15세대 = 3.0

1) 1순위 해당지역 청약신청자 중 입주자로 선정되지 못한 5명(55명 - 50명) + 1순위 기타지역 청약신청자 15명 = 20명
2) 미달된 세대는 순위 내 다음지역 공급량으로 전환
3) 2순위 해당지역 청약신청자 중 입주자로 선정되지 못한 15명(30명-15명) + 2순위 기타지역 청약신청자 30명 = 45명
* 2순위 기타지역에서 선정되지 않은 청약신청자(30명) 중 예비입주자 선정
<예시2> 성남(특별시, 광역시 이외 경기지역) 대규모 택지개발지구인 경우
공급세대수	순위	접수건수	순위내 경쟁률
(미달세대수)	공급세대 및 경쟁률 산출식
(소수점 이하 반올림)
100세대	1순위	해당지역	25	(Δ5)	

공급세대 : 100세대 × 30% = 30세대

미달세대 : 30세대 - 25명 = 5세대1)


기타경기	50	2.00	

공급세대 : 100세대 × 20% + 5 = 25세대

경쟁률 : 50명 ÷ 25세대 = 2.00


기타지역	5	(Δ20)	

공급세대 : 100세대 × 50% = 50세대

미달세대 : 50명 - 30명2) = 20세대1)


2순위	해당지역	9	1.50	

공급세대 : 20세대 × 30% = 6세대

경쟁률 : 9명 ÷ 6세대 = 1.50


기타경기	3	1.50	

공급세대 : 20세대 × 20% = 4세대

경쟁률 : 6명3) ÷ 4세대 = 1.50


기타지역	18	20	

공급세대 : 20세대 × 50% = 10세대

경쟁률 : 20명4) ÷ 10세대 = 2.00

1) 미달된 세대는 다음순위(또는 순위 내 다음지역)공급물량으로 전환
2) 1순위 기타경기 청약신청자 중 입주자로 선정되지 못한 25명(50명-25명)+1순위 기타지역 청약신청자5명=30명
3) 2순위 해당지역 청약신청자 중 입주자로 선정되지 못한 3명(9명-6명)+2순위 기타경기 청약신청자 3명=6명
4) 2순위 기타경기 청약신청자 중 입주자로 선정되지 못한 2명(6명-4명)+2순위 기타경기 청약신청자 18명=20명
- 소수점 이하는 반올림으로 처리하되, 공급세대가 적은(1~3세대) 경우 지역우선공급의 취지를 감안하여 선순위 지역에 공급 물량 우선 배분
<예시3> 공급세대가 적은(1~3세대) 경우 지역별 배분 방식
공급가구	공급지역이 서울인 경우
(해당 50%, 기타 50%)	공급지역이 성남인 경우
(해당 30%, 경기 20%, 기타 50%)
1	서울 1, 기타지역 0	성남 1, 기타 경기 0, 기타지역 0
2	서울 1, 기타지역 1	성남 1, 기타 경기 1, 기타지역 0
3	서울 2, 기타지역 1	성남 1, 기타 경기 1, 기타지역 1"
(해당)주택건설지역	주택공급에 관한 규칙 제2조제2호	"주택을 건설하는 특별시, 광역시, 특별자치시, 특별자치도(제주에 한함) 또는 시·군의 행정구역을 말합니다. 다만, 주택건설용지를 공급하기 위한 택지개발사업지구 등이 둘 이상의 특별시, 광역시, 특별자치시 또는 시·군의 행정구역에 걸치는 경우에는 해당 행정구역 모두를 같은 주택건설지역으로 봅니다.

청약신청 시 해당 주택건설지역에 거주하는 자 외에 인근 주택건설지역에 거주하는 자도 청약신청할 수 있습니다.
자세한 사항은 청약제도안내 > APT청약안내 > 당첨자선정을 참고하시기 바랍니다."
